if,then,support,confidence,lift
"knee_r_exam_rom, medication_ongoing","knee_l_exam_rom, knee_r_duration_val",0.13286713286713286,0.8260869565217391,4.922101449275362
"knee_l_exam_rom, knee_r_duration_val","knee_r_exam_rom, medication_ongoing",0.13286713286713286,0.7916666666666666,4.922101449275362
"knee_r_exam_rom, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_l_exam_rom",0.1258741258741259,0.8571428571428572,4.902857142857143
knee_l_morning_stiffness_duration,"knee_r_duration_val, knee_l_morning_stiffness",0.1258741258741259,0.8181818181818182,4.875
"knee_r_duration_val, knee_l_morning_stiffness",knee_l_morning_stiffness_duration,0.1258741258741259,0.75,4.875
"knee_r_duration_val, knee_l_morning_stiffness","knee_l_morning_stiffness_duration, medication_ongoing",0.1258741258741259,0.75,4.875
"knee_r_duration_val, knee_l_morning_stiffness","knee_l_morning_stiffness_duration, knee_present",0.1258741258741259,0.75,4.875
"medication_ongoing, knee_r_diag_oa_knee",knee_l_diag_oa_knee,0.15384615384615385,0.9166666666666666,4.854938271604938
"medication_ongoing, knee_r_diag_oa_knee","knee_l_diag_oa_knee, knee_present",0.15384615384615385,0.9166666666666666,4.854938271604938
knee_l_diag_oa_knee,"medication_ongoing, knee_r_diag_oa_knee",0.15384615384615385,0.8148148148148149,4.854938271604938
"knee_r_morning_stiffness, medication_ongoing","knee_l_duration_val, knee_l_morning_stiffness",0.15384615384615385,0.8800000000000001,4.840000000000001
"knee_l_duration_val, knee_l_morning_stiffness","knee_r_morning_stiffness, medication_ongoing",0.15384615384615385,0.8461538461538461,4.84
knee_l_morning_stiffness_duration,knee_r_morning_stiffness,0.13986013986013987,0.9090909090909091,4.814814814814815
knee_l_morning_stiffness_duration,"knee_r_morning_stiffness, knee_present",0.13986013986013987,0.9090909090909091,4.814814814814815
knee_l_morning_stiffness_duration,"knee_r_morning_stiffness, knee_l_morning_stiffness",0.13986013986013987,0.9090909090909091,4.814814814814815
"knee_l_exam_rom, knee_r_duration_val",knee_r_exam_rom,0.14685314685314685,0.8749999999999999,4.812499999999999
"knee_l_exam_rom, knee_r_duration_val","knee_r_exam_rom, knee_present",0.14685314685314685,0.8749999999999999,4.812499999999999
knee_r_exam_rom,"knee_l_exam_rom, knee_r_duration_val",0.14685314685314685,0.8076923076923076,4.812499999999999
"knee_l_duration_val, knee_l_morning_stiffness","knee_r_morning_stiffness, tongue_sama",0.13986013986013987,0.7692307692307693,4.782608695652175
"knee_r_morning_stiffness, tongue_sama","knee_l_duration_val, knee_l_morning_stiffness",0.13986013986013987,0.8695652173913044,4.782608695652174
"knee_l_diag_oa_knee, sex_female",knee_r_diag_oa_knee,0.1258741258741259,0.9,4.766666666666667
"knee_r_diag_oa_knee, sex_female",knee_l_diag_oa_knee,0.1258741258741259,0.9,4.766666666666667
"tongue_sama, knee_r_diag_oa_knee",knee_l_diag_oa_knee,0.1258741258741259,0.9,4.766666666666667
"knee_r_duration_val, knee_r_diag_oa_knee",knee_l_diag_oa_knee,0.1258741258741259,0.9,4.766666666666667
"knee_l_diag_oa_knee, sex_female","knee_present, knee_r_diag_oa_knee",0.1258741258741259,0.9,4.766666666666667
"knee_r_diag_oa_knee, sex_female","knee_l_diag_oa_knee, knee_present",0.1258741258741259,0.9,4.766666666666667
"tongue_sama, knee_r_diag_oa_knee","knee_l_diag_oa_knee, knee_present",0.1258741258741259,0.9,4.766666666666667
"knee_r_duration_val, knee_r_diag_oa_knee","knee_l_diag_oa_knee, knee_present",0.1258741258741259,0.9,4.766666666666667
knee_l_morning_stiffness_duration,"knee_l_duration_val, knee_l_morning_stiffness",0.13286713286713286,0.8636363636363635,4.749999999999999
"knee_l_exam_rom, knee_r_exam_creps_right",knee_r_exam_rom,0.1258741258741259,0.8571428571428572,4.714285714285714
"knee_l_exam_rom, knee_r_exam_creps_right","knee_r_exam_rom, knee_present",0.1258741258741259,0.8571428571428572,4.714285714285714
"knee_l_duration_val, knee_l_morning_stiffness",knee_r_morning_stiffness,0.16083916083916083,0.8846153846153846,4.685185185185185
"knee_l_duration_val, knee_l_morning_stiffness","knee_r_morning_stiffness, knee_present",0.16083916083916083,0.8846153846153846,4.685185185185185
knee_r_morning_stiffness,"knee_l_duration_val, knee_l_morning_stiffness",0.16083916083916083,0.8518518518518519,4.685185185185185
"knee_l_exam_rom, knee_r_exam_tenderness_knee","knee_r_duration_val, knee_l_exam_tenderness_knee",0.1258741258741259,0.9473684210526316,4.671506352087115
"knee_l_diag_oa_knee, medication_ongoing",knee_r_diag_oa_knee,0.15384615384615385,0.8800000000000001,4.660740740740741
"knee_l_diag_oa_knee, medication_ongoing","knee_present, knee_r_diag_oa_knee",0.15384615384615385,0.8800000000000001,4.660740740740741
knee_r_diag_oa_knee,"knee_l_diag_oa_knee, medication_ongoing",0.15384615384615385,0.8148148148148149,4.660740740740741
"knee_r_morning_stiffness, knee_l_duration_val","tongue_sama, knee_l_morning_stiffness",0.13986013986013987,0.8695652173913044,4.60547504025765
"knee_r_morning_stiffness, knee_r_duration_val","tongue_sama, knee_l_morning_stiffness",0.13986013986013987,0.8695652173913044,4.60547504025765
"knee_r_exam_rom, sex_female","knee_l_exam_rom, knee_l_duration_val",0.1258741258741259,0.9,4.5964285714285715
"knee_l_duration_val, surgery_other_duration_days","knee_r_duration_val, surgery_other",0.1258741258741259,0.9,4.5964285714285715
"knee_r_morning_stiffness, knee_l_duration_val","knee_l_morning_stiffness, medication_ongoing",0.15384615384615385,0.9565217391304349,4.5594202898550735
"knee_r_morning_stiffness, knee_r_duration_val","knee_l_morning_stiffness, medication_ongoing",0.15384615384615385,0.9565217391304349,4.5594202898550735
"knee_l_duration_val, knee_r_exam_tenderness_knee","knee_r_duration_val, knee_l_exam_tenderness_knee",0.16783216783216784,0.9230769230769231,4.551724137931035
"knee_r_duration_val, knee_l_exam_tenderness_knee","knee_l_duration_val, knee_r_exam_tenderness_knee",0.16783216783216784,0.8275862068965518,4.551724137931035
"knee_l_diag_oa_knee, urine_normal",knee_r_diag_oa_knee,0.1258741258741259,0.8571428571428572,4.53968253968254
"knee_r_morning_stiffness, sex_female","tongue_sama, knee_l_morning_stiffness",0.1258741258741259,0.8571428571428572,4.53968253968254
"knee_l_duration_val, knee_r_exam_rom","knee_l_exam_rom, sex_female",0.1258741258741259,0.8571428571428572,4.53968253968254
