if_symptom,then_suggest,support,confidence,lift
knee_r_exam_slr_right_neg,"knee_l_exam_creps_left, knee_present, knee_l_exam_slr_left_neg",0.1048951048951049,1.0,8.9375
"knee_r_exam_creps_right, knee_l_exam_slr_left_neg, knee_l_exam_creps_left",knee_r_exam_slr_right_neg,0.1048951048951049,0.9375,8.9375
"knee_l_morning_stiffness_duration, knee_l_morning_stiffness, knee_l_duration_val, knee_r_morning_stiffness","knee_r_morning_stiffness_duration, knee_r_duration_val",0.11888111888111888,1.0,8.411764705882353
"knee_l_exam_creps_left, knee_r_morning_stiffness","knee_r_exam_creps_right, knee_l_morning_stiffness",0.1048951048951049,0.9375,8.37890625
"tongue_sama, knee_r_exam_swelling_non_pitting","knee_r_exam_tenderness_knee, knee_l_exam_swelling_non_pitting, knee_l_exam_tenderness_knee",0.1048951048951049,0.8333333333333333,7.944444444444444
"knee_l_morning_stiffness_duration, knee_r_duration_val","knee_l_duration_val, knee_r_morning_stiffness_duration",0.11888111888111888,0.9444444444444443,7.944444444444444
"knee_l_duration_val, knee_r_morning_stiffness_duration, knee_present","medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness_duration",0.11888111888111888,1.0,7.944444444444444
"knee_r_exam_swelling_non_pitting, knee_present","tongue_sama, medication_ongoing, knee_l_exam_swelling_non_pitting, knee_l_exam_tenderness_knee",0.11188811188811189,0.8888888888888888,7.944444444444444
"tongue_sama, knee_r_exam_swelling_non_pitting, knee_l_exam_tenderness_knee","knee_r_exam_tenderness_knee, knee_l_exam_swelling_non_pitting",0.1048951048951049,0.8823529411764706,7.886029411764706
"knee_present, knee_l_exam_creps_left, knee_r_duration_val, sex_female, knee_l_exam_rom","knee_r_exam_creps_right, knee_l_duration_val, knee_r_exam_rom",0.1048951048951049,0.9375,7.886029411764706
"knee_l_exam_tenderness_knee, lumbar_present","knee_r_exam_tenderness_knee, lumbar_exam_tenderness, knee_present",0.11188811188811189,0.8421052631578948,7.526315789473685
"knee_l_exam_creps_left, knee_r_duration_val, knee_l_diag_oa_knee","knee_r_exam_creps_right, knee_r_diag_oa_knee",0.1048951048951049,1.0,7.526315789473684
"knee_l_duration_val, knee_l_morning_stiffness_duration","knee_r_duration_val, knee_r_morning_stiffness_duration",0.11888111888111888,0.8947368421052632,7.526315789473684
"knee_l_duration_val, knee_r_diag_oa_knee","knee_r_duration_val, knee_l_diag_oa_knee",0.1258741258741259,0.9473684210526316,7.526315789473684
"tongue_sama, knee_l_exam_tenderness_knee, knee_l_exam_swelling_non_pitting","knee_r_exam_swelling_non_pitting, knee_present",0.11888111888111888,0.9444444444444443,7.503086419753084
"tongue_sama, knee_l_exam_tenderness_knee, knee_l_exam_swelling_non_pitting","knee_r_exam_swelling_non_pitting, medication_ongoing",0.11188811188811189,0.8888888888888888,7.477124183006536
"knee_r_exam_swelling_non_pitting, medication_ongoing","tongue_sama, knee_l_exam_tenderness_knee, knee_l_exam_swelling_non_pitting",0.11188811188811189,0.9411764705882353,7.477124183006535
"tongue_sama, knee_l_exam_tenderness_knee, knee_present, knee_l_exam_swelling_non_pitting","knee_r_exam_tenderness_knee, knee_r_exam_swelling_non_pitting",0.1048951048951049,0.8333333333333333,7.447916666666666
