if,then,support,confidence,lift
"knee_l_pain_stairclimbing, knee_l_reason_natural",knee_l_pain_lowsitting,0.1201923076923077,0.78125,4.924242424242425
knee_r_pain_lowsitting,knee_r_pain_stairclimbing,0.1201923076923077,0.9615384615384616,4.761904761904762
knee_r_pain_standing,knee_r_pain_walking,0.1346153846153846,0.9655172413793103,4.365817091454272
"knee_r_pain_walking, knee_r_exam_tenderness_knee",knee_r_pain_stairclimbing,0.1201923076923077,0.8620689655172413,4.2692939244663375
"medication_none, knee_r_duration_val",knee_r_pain_walking,0.125,0.9285714285714286,4.198757763975156
"knee_r_pain_stairclimbing, knee_r_diag_oa_knee",knee_r_reason_natural,0.1346153846153846,0.9032258064516129,4.084151472650771
"knee_r_pain_walking, knee_r_exam_tenderness_knee",knee_r_reason_natural,0.125,0.896551724137931,4.053973013493254
"knee_r_exam_tenderness_knee, knee_r_reason_natural",knee_r_pain_walking,0.125,0.896551724137931,4.053973013493254
"knee_l_pain_lowsitting, knee_l_exam_creps_left",knee_l_pain_stairclimbing,0.12980769230769232,0.9000000000000001,3.9829787234042557
"tongue_sama, knee_r_pain_stairclimbing",knee_r_reason_natural,0.13942307692307693,0.8787878787878789,3.9736495388669306
"knee_l_pain_lowsitting, knee_l_pain_walking",knee_l_pain_stairclimbing,0.125,0.896551724137931,3.967718268525312
"knee_r_pain_walking, knee_r_pain_stairclimbing",knee_r_reason_natural,0.12980769230769232,0.870967741935484,3.9382889200561015
"knee_r_pain_stairclimbing, knee_r_reason_natural",knee_r_pain_walking,0.12980769230769232,0.870967741935484,3.9382889200561015
"knee_r_pain_stairclimbing, knee_r_diag_oa_knee",knee_r_pain_walking,0.12980769230769232,0.870967741935484,3.9382889200561015
"knee_r_pain_walking, knee_r_reason_natural",knee_r_pain_stairclimbing,0.12980769230769232,0.7941176470588236,3.9327731092436977
"knee_r_pain_walking, appetite_normal",knee_r_reason_natural,0.1201923076923077,0.8620689655172413,3.8980509745127434
"knee_l_pain_lowsitting, knee_l_pain_walking",knee_l_reason_natural,0.1346153846153846,0.9655172413793103,3.862068965517241
"knee_l_pain_lowsitting, knee_l_duration_val",knee_l_pain_stairclimbing,0.12980769230769232,0.870967741935484,3.854495538778312
"knee_l_pain_lowsitting, knee_l_diag_oa_knee",knee_l_reason_natural,0.1201923076923077,0.9615384615384616,3.8461538461538463
"tongue_sama, knee_r_pain_walking",knee_r_reason_natural,0.15865384615384615,0.8461538461538461,3.8260869565217392
"knee_l_pain_lowsitting, sex_female",knee_l_pain_stairclimbing,0.1201923076923077,0.8620689655172413,3.8151137197358764
"knee_l_pain_lowsitting, urine_normal",knee_l_pain_stairclimbing,0.1201923076923077,0.8620689655172413,3.8151137197358764
"knee_l_pain_lowsitting, knee_l_reason_natural",knee_l_pain_stairclimbing,0.1201923076923077,0.8620689655172413,3.8151137197358764
"knee_r_duration_val, knee_r_reason_natural",knee_r_pain_stairclimbing,0.14423076923076922,0.7692307692307692,3.8095238095238093
"knee_r_exam_creps_right, knee_r_pain_walking",knee_r_reason_natural,0.14903846153846154,0.8378378378378378,3.7884841363102235
"knee_r_exam_creps_right, knee_r_reason_natural",knee_r_pain_walking,0.14903846153846154,0.8378378378378378,3.7884841363102235
"knee_r_pain_walking, knee_r_diag_oa_knee",knee_r_reason_natural,0.14903846153846154,0.8378378378378378,3.7884841363102235
"knee_r_reason_natural, knee_r_diag_oa_knee",knee_r_pain_walking,0.14903846153846154,0.8378378378378378,3.7884841363102235
"knee_r_pain_stairclimbing, knee_r_exam_tenderness_knee",knee_r_pain_walking,0.1201923076923077,0.8333333333333335,3.7681159420289863
knee_l_pain_lowsitting,knee_l_pain_stairclimbing,0.1346153846153846,0.8484848484848485,3.754996776273372
"knee_r_pain_walking, sex_female",knee_r_pain_stairclimbing,0.1346153846153846,0.7567567567567567,3.747747747747747
"knee_r_exam_creps_right, knee_r_pain_walking",knee_r_pain_stairclimbing,0.1346153846153846,0.7567567567567567,3.747747747747747
"knee_r_exam_creps_right, knee_r_reason_natural",knee_r_pain_stairclimbing,0.1346153846153846,0.7567567567567567,3.747747747747747
"knee_r_reason_natural, knee_r_diag_oa_knee",knee_r_pain_stairclimbing,0.1346153846153846,0.7567567567567567,3.747747747747747
"knee_l_pain_lowsitting, knee_l_exam_creps_left",knee_l_reason_natural,0.1346153846153846,0.9333333333333333,3.7333333333333334
"knee_l_pain_lowsitting, sex_female",knee_l_reason_natural,0.12980769230769232,0.9310344827586208,3.724137931034483
"knee_r_exam_creps_right, knee_r_pain_stairclimbing",knee_r_pain_walking,0.1346153846153846,0.8235294117647058,3.7237851662404093
"knee_r_exam_creps_right, knee_r_pain_stairclimbing",knee_r_reason_natural,0.1346153846153846,0.8235294117647058,3.7237851662404093
"knee_l_pain_lowsitting, knee_l_exam_creps_left",knee_l_pain_walking,0.13942307692307693,0.9666666666666668,3.723456790123457
"knee_l_pain_lowsitting, knee_l_reason_natural",knee_l_pain_walking,0.1346153846153846,0.9655172413793103,3.7190293742017873
"sex_female, knee_r_reason_natural",knee_r_pain_stairclimbing,0.12980769230769232,0.7500000000000001,3.714285714285715
"knee_l_pain_lowsitting, tongue_sama",knee_l_pain_walking,0.12980769230769232,0.9642857142857144,3.7142857142857144
"knee_r_duration_val, knee_r_reason_natural",knee_r_pain_walking,0.15384615384615385,0.8205128205128206,3.7101449275362324
"medication_none, knee_l_reason_natural",knee_l_pain_walking,0.1201923076923077,0.9615384615384616,3.7037037037037033
"tongue_sama, knee_r_pain_stairclimbing",knee_r_pain_walking,0.12980769230769232,0.8181818181818183,3.699604743083005
"sex_female, knee_r_reason_natural",knee_r_pain_walking,0.13942307692307693,0.8055555555555556,3.642512077294686
"knee_l_pain_lowsitting, knee_l_duration_val",knee_l_reason_natural,0.1346153846153846,0.9032258064516129,3.6129032258064515
"knee_l_pain_lowsitting, knee_l_pain_stairclimbing",knee_l_pain_walking,0.125,0.9285714285714286,3.5767195767195767
"knee_l_pain_walking, medication_none",knee_l_reason_natural,0.1201923076923077,0.8928571428571429,3.5714285714285716
"knee_l_diag_oa_knee, medication_none",knee_l_reason_natural,0.1201923076923077,0.8928571428571429,3.5714285714285716
"knee_l_pain_lowsitting, knee_l_pain_stairclimbing",knee_l_reason_natural,0.1201923076923077,0.8928571428571429,3.5714285714285716
"knee_r_exam_tenderness_knee, knee_r_diag_oa_knee",knee_r_pain_walking,0.125,0.787878787878788,3.5625823451910414
